01/01/2018,,Hours,2018,2019,2020,2021,2022
06/01/2018 19:00,06/01/2018 20:00,140,68.17,75.3,46.1,383.28,210.68
06/01/2018 20:00,06/01/2018 21:00,141,55.1,65.77,43.28,156.74,206.37
06/01/2018 21:00,06/01/2018 22:00,142,55.04,59.8,35.38,80.3,196.13
06/01/2018 22:00,06/01/2018 23:00,143,50.92,52,35.59,55.06,187.39
06/01/2018 23:00,07/01/2018 00:00,144,44.42,60.59,30,51.06,166.98
07/01/2018 00:00,07/01/2018 01:00,145,47.98,64,27.98,55.02,175.12
07/01/2018 01:00,07/01/2018 02:00,146,50,54.77,27.2,52.9,162.43
07/01/2018 02:00,07/01/2018 03:00,147,47,48,26.14,50.95,159.91
07/01/2018 03:00,07/01/2018 04:00,148,44.91,42.52,25.37,49.09,141.54
07/01/2018 04:00,07/01/2018 05:00,149,42.09,43.64,25.85,49.01,133.96
07/01/2018 05:00,07/01/2018 06:00,150,41.31,48.77,26.98,49.07,153.52
07/01/2018 06:00,07/01/2018 07:00,151,41.07,60,34,54.02,170.45
07/01/2018 07:00,07/01/2018 08:00,152,41.83,64.84,42.73,61.15,189.98
07/01/2018 08:00,07/01/2018 09:00,153,41.42,65.52,42.5,71.6,185.28
07/01/2018 09:00,07/01/2018 10:00,154,43.51,67.44,44.57,85.6,210.02
07/01/2018 10:00,07/01/2018 11:00,155,49.09,64.1,43.44,87.75,211.08
07/01/2018 11:00,07/01/2018 12:00,156,53.06,61.21,41.29,87.42,202.01
07/01/2018 12:00,07/01/2018 13:00,157,50.76,60.11,40.29,85.86,204.5
07/01/2018 13:00,07/01/2018 14:00,158,55,57.74,39.93,84.7,211.71
07/01/2018 14:00,07/01/2018 15:00,159,55,54.77,39.3,84.89,190.27
07/01/2018 15:00,07/01/2018 16:00,160,54.42,54.8,37.84,81.09,186.2
07/01/2018 16:00,07/01/2018 17:00,161,48.84,67.2,40.02,78.96,199.61
07/01/2018 17:00,07/01/2018 18:00,162,61.1,73,42.11,120.08,217.38
07/01/2018 18:00,07/01/2018 19:00,163,91.66,64.45,42.24,489.6,253.2
07/01/2018 19:00,07/01/2018 20:00,164,66.82,70.03,42.76,159.92,248.78
07/01/2018 20:00,07/01/2018 21:00,165,58.93,59.58,41.8,87.41,254.63
07/01/2018 21:00,07/01/2018 22:00,166,53.05,57.09,36.46,67.95,207.17
